BindingEnergy_eV,Intensity
8270.00,78.738100
8269.00,77.090000
8268.00,77.834000
8267.00,76.824300
8266.00,78.734200
8265.00,78.246400
8264.00,77.102900
8263.00,77.562700
8262.00,75.672200
8261.00,77.391100
8260.00,80.789700
8259.00,76.904200
8258.00,76.230800
8257.00,79.842700
8256.00,75.782300
8255.00,74.773000
8254.00,76.234100
8253.00,79.438400
8252.00,75.311800
8251.00,77.417700
8250.00,80.685100
8249.00,77.003800
8248.00,71.833300
8247.00,80.172400
8246.00,78.689900
8245.00,76.443500
8244.00,76.614700
8243.00,78.129600
8242.00,80.382300
8241.00,79.385300
8240.00,77.844000
8239.00,75.949400
8238.00,76.476700
8237.00,80.394000
8236.00,77.910200
8235.00,77.302900
8234.00,80.403500
8233.00,76.646700
8232.00,81.565600
8231.00,79.328800
8230.00,80.418800
8229.00,83.756500
8228.00,80.452300
8227.00,78.709500
8226.00,79.911900
8225.00,81.164800
8224.00,78.297100
8223.00,82.534900
8222.00,80.180000
8221.00,77.838500
8220.00,75.537300
8219.00,77.382400
8218.00,80.310400
8217.00,83.324900
8216.00,77.875200
8215.00,80.066100
8214.00,79.982900
8213.00,80.397000
8212.00,81.163300
8211.00,84.407700
8210.00,79.842100
8209.00,83.324600
8208.00,80.097700
8207.00,81.383200
8206.00,81.326600
8205.00,85.797600
8204.00,81.478900
8203.00,80.482200
8202.00,78.329300
8201.00,79.148700
8200.00,80.926800
8199.00,80.234100
8198.00,83.545400
8197.00,82.497200
8196.00,80.046000
8195.00,80.196200
8194.00,84.299000
8193.00,81.311400
8192.00,85.652200
8191.00,78.562500
8190.00,80.600400
8189.00,84.474400
8188.00,85.542700
8187.00,82.771100
8186.00,85.160200
8185.00,86.185300
8184.00,87.655600
8183.00,83.605000
8182.00,83.853400
8181.00,81.616900
8180.00,78.121100
8179.00,82.706200
8178.00,85.508500
8177.00,83.598900
8176.00,86.614100
8175.00,79.320600
8174.00,79.385000
8173.00,85.474100
8172.00,84.138400
8171.00,83.357900
8170.00,82.276600
8169.00,83.017100
8168.00,82.810800
8167.00,83.212000
8166.00,84.420300
8165.00,83.434200
8164.00,83.416500
8163.00,84.416900
8162.00,85.273100
8161.00,86.239700
8160.00,85.036300
8159.00,88.042000
8158.00,83.932900
8157.00,81.932500
8156.00,81.015300
8155.00,83.758100
8154.00,87.471800
8153.00,80.514300
8152.00,82.612100
8151.00,79.615100
8150.00,81.935600
8149.00,81.560900
8148.00,78.693200
8147.00,78.923900
8146.00,80.475500
8145.00,79.927300
8144.00,83.011100
8143.00,78.850300
8142.00,80.586900
8141.00,84.954600
8140.00,79.593000
8139.00,87.755800
8138.00,85.019800
8137.00,78.335400
8136.00,80.985000
8135.00,82.990500
8134.00,85.254800
8133.00,78.703700
8132.00,85.163200
8131.00,84.540700
8130.00,79.151100
8129.00,83.716200
8128.00,85.454800
8127.00,88.834600
8126.00,84.643800
8125.00,81.701000
8124.00,85.970600
8123.00,81.967100
8122.00,77.737000
8121.00,82.853600
8120.00,76.129800
8119.00,81.858600
8118.00,86.910400
8117.00,84.626200
8116.00,86.350100
8115.00,85.771200
8114.00,82.717600
8113.00,81.627200
8112.00,84.175300
8111.00,84.843400
8110.00,84.530900
8109.00,84.373600
8108.00,86.903300
8107.00,84.482500
8106.00,85.426400
8105.00,86.506600
8104.00,87.804800
8103.00,82.024500
8102.00,84.331900
8101.00,83.835900
8100.00,86.771300
8099.00,84.160800
8098.00,85.304400
8097.00,87.175900
8096.00,85.869600
8095.00,86.312700
8094.00,85.432200
