BindingEnergy_eV,Intensity
188.80,5875.0
189.20,5475.0
189.60,5837.5
190.00,6025.0
190.40,6262.5
190.80,5287.5
191.20,6025.0
191.60,5987.5
192.00,5750.0
192.40,6225.0
192.80,5762.5
193.20,5825.0
193.60,6137.5
194.00,5900.0
194.40,6062.5
194.80,6350.0
195.20,5762.5
195.60,6612.5
196.00,6337.5
196.40,6075.0
196.80,6250.0
197.20,5550.0
197.60,5975.0
198.00,6200.0
198.40,6025.0
198.80,5650.0
199.20,5625.0
199.60,6150.0
200.00,5687.5
200.40,5887.5
200.80,5825.0
201.20,6100.0
201.60,6512.5
202.00,6150.0
202.40,6525.0
202.80,5500.0
203.20,6237.5
203.60,5450.0
204.00,5975.0
204.40,5500.0
204.80,5525.0
205.20,6162.5
205.60,5837.5
206.00,6175.0
206.40,5687.5
206.80,5750.0
207.20,5750.0
207.60,6175.0
208.00,6025.0
208.40,5675.0
208.80,6375.0
209.20,5812.5
209.60,6650.0
210.00,6412.5
210.40,6162.5
210.80,5962.5
211.20,5837.5
211.60,6112.5
212.00,6200.0
212.40,5875.0
212.80,5875.0
213.20,6075.0
213.60,6537.5
214.00,6000.0
214.40,6200.0
214.80,5737.5
215.20,5975.0
215.60,5925.0
216.00,5887.5
216.40,5862.5
216.80,6000.0
217.20,5762.5
217.60,5875.0
218.00,5825.0
218.40,6250.0
218.80,5725.0
219.20,6612.5
219.60,5650.0
220.00,6037.5
220.40,5837.5
220.80,6087.5
221.20,5762.5
221.60,6200.0
222.00,6162.5
222.40,5912.5
222.80,6087.5
223.20,5950.0
223.60,6187.5
224.00,6262.5
224.40,6075.0
224.80,5575.0
225.20,6012.5
225.60,5862.5
226.00,5812.5
226.40,6775.0
226.80,6087.5
227.20,6187.5
227.60,6162.5
228.00,5762.5
228.40,5962.5
228.80,5987.5
229.20,6050.0
229.60,5950.0
230.00,6587.5
230.40,5950.0
230.80,6425.0
231.20,5975.0
231.60,6312.5
232.00,5837.5
232.40,5537.5
232.80,6150.0
233.20,5937.5
233.60,5550.0
234.00,6387.5
234.40,5775.0
234.80,6087.5
235.20,5725.0
235.60,6162.5
236.00,5975.0
236.40,5950.0
236.80,5887.5
237.20,5850.0
237.60,5900.0
238.00,5737.5
238.40,6237.5
238.80,5725.0
239.20,5887.5
239.60,6262.5
240.00,6437.5
240.40,5975.0
240.80,6150.0
241.20,6175.0
241.60,5987.5
242.00,6325.0
242.40,5887.5
242.80,5937.5
243.20,5587.5
243.60,5737.5
244.00,6175.0
244.40,6262.5
244.80,6225.0
245.20,5800.0
245.60,5937.5
246.00,6400.0
246.40,6175.0
246.80,5900.0
247.20,6062.5
247.60,6212.5
248.00,6162.5
248.40,6875.0
248.80,5950.0
249.20,6350.0
249.60,6062.5
250.00,6325.0
250.40,6275.0
250.80,5962.5
251.20,6087.5
251.60,6325.0
252.00,6350.0
252.40,6250.0
252.80,5775.0
253.20,5600.0
253.60,6137.5
254.00,5712.5
254.40,6137.5
254.80,5962.5
255.20,5825.0
255.60,6362.5
256.00,5525.0
256.40,6175.0
256.80,5750.0
257.20,5900.0
257.60,5812.5
258.00,5887.5
258.40,6250.0
258.80,6200.0
259.20,6575.0
259.60,6362.5
260.00,6350.0
260.40,5687.5
260.80,6250.0
261.20,6062.5
261.60,6150.0
262.00,6175.0
262.40,6125.0
262.80,6450.0
263.20,6700.0
263.60,5787.5
264.00,6225.0
264.40,5825.0
264.80,6125.0
265.20,5912.5
265.60,5887.5
266.00,5837.5
266.40,5762.5
266.80,5712.5
267.20,5737.5
267.60,5837.5
268.00,5925.0
268.40,6287.5
268.80,5837.5
269.20,6337.5
269.60,6212.5
270.00,5762.5
270.40,5825.0
270.80,5975.0
271.20,6012.5
271.60,6250.0
272.00,6050.0
272.40,5762.5
272.80,5387.5
273.20,6287.5
273.60,5875.0
274.00,6262.5
274.40,5887.5
274.80,6312.5
275.20,5987.5
275.60,6250.0
276.00,5837.5
276.40,6112.5
276.80,5662.5
277.20,6087.5
277.60,5875.0
278.00,5637.5
278.40,6037.5
278.80,6250.0
279.20,5937.5
279.60,6037.5
280.00,6000.0
280.40,5650.0
280.80,5812.5
281.20,5950.0
281.60,5662.5
282.00,6137.5
282.40,5925.0
282.80,6487.5
283.20,6375.0
283.60,6387.5
284.00,6012.5
284.40,6700.0
284.80,6000.0
285.20,6887.5
