BindingEnergy_eV,Intensity
244.40,2037.5
244.80,2175.0
245.20,2162.5
245.60,2100.0
246.00,1912.5
246.40,2025.0
246.80,1962.5
247.20,2225.0
247.60,2250.0
248.00,2087.5
248.40,2075.0
248.80,2175.0
249.20,1912.5
249.60,2187.5
250.00,1675.0
250.40,2212.5
250.80,2100.0
251.20,2112.5
251.60,2112.5
252.00,2212.5
252.40,2200.0
252.80,2137.5
253.20,2125.0
253.60,2175.0
254.00,2150.0
254.40,1987.5
254.80,2037.5
255.20,2137.5
255.60,2275.0
256.00,2412.5
256.40,2362.5
256.80,2187.5
257.20,2125.0
257.60,2125.0
258.00,2087.5
258.40,2037.5
258.80,2237.5
259.20,1662.5
259.60,1787.5
260.00,1875.0
260.40,1837.5
260.80,2050.0
261.20,2137.5
261.60,2075.0
262.00,2487.5
262.40,2100.0
262.80,2062.5
263.20,2125.0
263.60,1775.0
264.00,2012.5
264.40,2387.5
264.80,1812.5
265.20,2212.5
265.60,2100.0
266.00,2125.0
266.40,2000.0
266.80,2050.0
267.20,1950.0
267.60,2250.0
268.00,2150.0
268.40,2037.5
268.80,1987.5
269.20,2287.5
269.60,1675.0
270.00,1950.0
270.40,1900.0
270.80,2075.0
271.20,2087.5
271.60,2025.0
272.00,2175.0
272.40,2012.5
272.80,1925.0
273.20,2037.5
273.60,1775.0
274.00,2137.5
274.40,2050.0
274.80,1912.5
275.20,2025.0
275.60,1962.5
276.00,2000.0
276.40,1800.0
276.80,2137.5
277.20,1975.0
277.60,1812.5
278.00,1987.5
278.40,1887.5
278.80,2187.5
279.20,1787.5
279.60,2062.5
280.00,1887.5
280.40,2237.5
280.80,2212.5
281.20,2200.0
281.60,1900.0
282.00,1825.0
282.40,2087.5
282.80,1975.0
283.20,2112.5
283.60,2212.5
284.00,2150.0
284.40,2237.5
284.80,2162.5
285.20,2200.0
285.60,2375.0
286.00,2525.0
286.40,2612.5
286.80,2587.5
287.20,2762.5
287.60,2762.5
288.00,2662.5
288.40,2912.5
288.80,2575.0
289.20,2525.0
289.60,2550.0
290.00,2687.5
290.40,2625.0
290.80,2775.0
291.20,2262.5
291.60,2662.5
292.00,2275.0
292.40,2512.5
292.80,2587.5
293.20,2425.0
293.60,2550.0
294.00,2825.0
294.40,2175.0
294.80,2337.5
295.20,2400.0
295.60,2412.5
296.00,2362.5
296.40,2187.5
296.80,2275.0
297.20,2275.0
297.60,2262.5
298.00,2450.0
298.40,2500.0
298.80,2212.5
299.20,2600.0
299.60,2137.5
300.00,2587.5
300.40,2562.5
300.80,2450.0
301.20,2712.5
301.60,2550.0
302.00,2637.5
302.40,2350.0
302.80,2587.5
303.20,2425.0
303.60,2450.0
304.00,2275.0
304.40,2662.5
304.80,2525.0
305.20,2750.0
305.60,2750.0
306.00,2912.5
306.40,3100.0
306.80,3212.5
307.20,3325.0
307.60,3287.5
308.00,3575.0
308.40,3037.5
308.80,3387.5
309.20,2775.0
309.60,3237.5
310.00,3175.0
310.40,3087.5
310.80,2900.0
311.20,3012.5
311.60,3000.0
312.00,3025.0
312.40,3325.0
312.80,3737.5
313.20,4287.5
313.60,4387.5
314.00,4700.0
314.40,4475.0
314.80,4462.5
315.20,3512.5
315.60,3375.0
316.00,3062.5
316.40,3112.5
316.80,3237.5
